Jared Vanderaa                      wiki: Jared Vanderaa | fights: 30
Waldo Cortes-Acosta                 wiki: Waldo Cortes-Acosta | fights: 19
Tanner Boser                        wiki: Tanner Boser | fights: 34
Rodrigo Nascimento                  wiki: Rodrigo Nascimento | fights: 17
Alexandr Romanov                    wiki: Alexander Romanov (fighter) | fights: 26
Don'Tale Mayes                      wiki: Don'Tale Mayes | fights: 20
Lukasz Brzeski                      wiki: NOT FOUND | fights: 0
Karl Williams                       wiki: NOT FOUND | fights: 0
Austen Lane                         wiki: Austen Lane | fights: 22
Josh Parisian                       wiki: Josh Parisian | fights: 24
Piera Rodriguez                     wiki: NOT FOUND | fights: 0
Loma Lookboonmee                    wiki: Loma Lookboonmee | fights: 15
Tecia Torres                        wiki: NOT FOUND | fights: 0
Sam Hughes                          wiki: Sam Hughes (fighter) | fights: 17
Iasmin Lucindo                      wiki: Iasmin Lucindo | fights: 23
Ravena Oliveira                     wiki: NOT FOUND | fights: 0
Kanako Murata                       wiki: Kanako Murata | fights: 16
Nina Nunes                          wiki: Nina Nunes | fights: 17
Carla Esparza                       wiki: Carla Esparza | fights: 26
